akceptuję akceptuji
wieziesz vezeš
wiezie veze
winię viním
winisz viníš
wini viní
wiruję vířím
wirujesz víříš
wiruje víří
witam vítám
witasz vítáš
wita vítá
wkładam vkládám
wkładasz vkládáš
wkłada vkládá
wleję naliji
wlejesz naliješ
wleje nalije
włączę zapnu
włączysz zapneš
włączy zapne
włożę vložím
włożysz vložíš
włoży vloží
wniosę vnesu
wniesiesz vneseš
wniesie vnese
wnoszę vnáším
wnosisz vnášíš
wnosi vnáší
wodzę vodím
wodzisz vodíš
wodzi vodí
wożę vozím
wozisz vozíš
wozi vozí
wpakuję vrazím
wpakujesz vrazíš
wpakuje vrazí
wpiszę vepíšu
wpiszesz vepíšeš
wpisze vepíše
wprowadzam zavádím
wprowadzasz zavádíš
wprowadza zavádí
wprowadzę zavedu
wprowadzisz zavedeš
wprowadzi zavede
wręczę předám
wręczysz předáš
wręczy předá
wrzucam vhazuji
wrzucasz vhazuješ
wrzuca vhazuje
wrzucę hodím
wrzucisz hodíš
wrzuci hodí
wsadzę vsadím
wsadzisz vsadíš
wsadzi vsadí
wskażę ukážu
wskażesz ukážeš
wskaże ukáže
wskazuję ukazuji
wskazujesz ukazuješ
wskazuje ukazuje
wskrzeszę vzkřísím
wskrzesisz vzkřísíš
wskrzesi vzkřísí
wspieram podporuji
wspierasz podporuješ
wspiera podporuje
wspinam šplhám
wspinacz šplháš
wspina šplhá
wstawię vložím
wstawisz vložíš
wstawi vloží
wstrzymam zadržím
wstrzymasz zadržíš
wstrzyma zadrží
wszcznę zahájím
wszczniesz zahájíš
wszcznie zahájí
wszczynam zahajuji
wszczynasz zahajuješ
wszczyna zahajuje
wtrącam vkládám
wtrącasz vkládáš
wtrąca vkládá
wtrącę vložím
wtrącisz vložíš
wtrąci vloží
wybadam vyšetřím
wybadasz vyšetříš
wybada vyšetří
wybiję vybiji
wybijesz vybiješ
wybije vybije
wybieram vybírám
wybierasz vybíráš
wybiera vybírá
wybijam vybíjím
wybijasz vybiješ
wybija vybíjí
wybiorę vyberu
wybierzesz vybereš
wybierze vybere
wybuduję vybuduji
wybudujesz vybuduješ
wybuduje vybuduje
wyceluję zamířím
wycelujesz zamíříš
wyceluje zamíří
wychodzę vycházím
wychodzisz vycházíš
wychodzi vychází
wychowam vychovám
wychowasz vychováš
wychowa vychová
wychowuję vychovávám
wychowujesz vychováváš
wychowuje vychovává
wychwycę zachytím
wychwycisz zachytíš
wychwyci zachytí
wychylę vykloním
wychylisz vykloníš
wychyli vykloní
wytnę vyříznu
wytniesz vyřízneš
wytnie vyřízne
wyciągam vytahuji
wyciągasz vytahuješ
wyciąga vytahuje
wycieram utírám
wycierasz utíráš
wyciera utírá
wycofam stáhnu
wycofasz stáhneš
wycofa stáhne
wycofuję stahuji
wycofujesz stahuješ
wycofuje stahuje
wyczerpię vyčerpám
wyczerpiesz vyčerpáš
wyczerpie vyčerpá
wyczuję vycítím
wyczujesz vycítíš
wyczuje vycítí
wyczuwam vycítím
wyczuwasz vycítíš
wyczuwa vycítí
wyczyszczę vyčistím
wyczyścisz vyčistíš
wyczyści vyčistí
wyczytam vyčtu
wyczytasz vyčteš
wyczyta vyčte
wydam vydám
wydasz vydáš
wyda vydá
wydaję vydávám
wydajesz vydáváš
wydaje vydává
wydobędę vyjmu
wydobędziesz vyjmeš
wydobędzie vyjme
wydobywam vyjímám
wydobywasz vyjímáš
wydobywa vyjímá
wydrukuję vytisknu
wydrukujesz vytiskneš
wydrukuje vytiskne
wydrę vytrhnu
wydrzesz vytrhneš
wydrze vytrhne
wyduszę vyslovím
wydusisz vyslovíš
wydusi vysloví
wyeliminuję eliminuji
wyeliminujesz eliminujete
wyeliminuje eliminuje
wygłaszam prohlašuji
wygłaszasz prohlašuješ
wygłasza prohlašuje
wygłoszę prohlásím
wygłosisz prohlásíš
wygłosi prohlásí
wygonię vyženu
wygonisz vyženeš
wygoni vyžene
wygram vyhraji
wygrasz vyhraješ
wygra vyhraje
wygrywam vyhrávám
grywasz vyhráváš
wygrywa vyhrává
wygrzebię vyhrabu
wygrzebiesz vyhrabeš
wygrzebie vyhrabe
wyhoduję vypěstuji
wyhodujesz vypěstuješ
wyhoduje vypěstuje
wyjmę vyndám
wyjmiesz vyndáš
wyjmie vyndá
wyjmuję vyndávám
wyjmujesz vyndáváš
wyjmuje vyndává
wykluczę vyloučím
wykluczysz vyloučíš
wykluczy vyloučí
wykładam vykládám
wykładasz vykládáš
wykłada vykládá
wykonam provedu
wykonasz provedeš
wykona provede
wykonuję provádím
wykonujesz provádíš
wykonuje provádí
wykończę dokončím
wykończysz dokončíš
wykończy dokončí
wykopam vykopu
wykopasz vykopeš
wykopie vykope
wykorzystam využiji
wykorzystasz využiješ
wykorzysta využije
wykorzystuję využívám
wykorzystujesz využíváš
korzystuje využívá
wykradnę vykradnu
wykradniesz vykradneš
wykradnie vykradne
wykręcam vytáčím
wykręcasz vytáčíš
wykręca vytáčí
wykręcę vytočím
wykręcisz vytočíš
wykręci vytočí
wykryję odhalím
wykryjesz odhalíš
wykryje odhalí
wykrzeszę vydobyji
wykrzeszesz vydobyješ
wykrzesze vydobyje
wykrzyczę vykřičím
wykrzyczysz vykřičíš
wykrzyczy vykřičí
wykrzykuję vykřikuji
wykrzykujesz vykřikuješ
wykrzykuje vykřikuje
wykupię vykoupím
wykupisz vykoupíš
wykupi vykoupí
wyleję vyliji
wylejesz vyliješ
wyleje vylije
wyleczę vyléčím
wyleczysz vyléčíš
wyleczy vyléčí
wylewam vylévám
wylewasz vyléváš
wylewa vylévá
wyliczam vypočítávám
wyliczasz vypočítáváš
wylicza vypočítává
wyliczę vypočítám
wyliczysz vypočítáš
wyliczy vypočítá
wyładuję vyložím
wyładujesz vyložíš
wyładuje vyloží
wyłamię vylomím
wyłamiesz vylomíš
wyłamie vylomí
wyłączę vypnu
wyłączysz vypneš
wyłączy vypne
wyłonię vynořím
wyłonisz vynoříš
wyłoni vynoří
wyłowię vylovím
wyłowisz vylovíš
wyłowi vyloví
wyłożę vyložím
wyłożysz vyložíš
wyłoży vyloží
wymawiam vyslovuji
wymawiasz vyslovuješ
wymawia vyslovuje
wymażę vymažu
wymażesz vymažeš
wymaże vymaže
wymieniam vyměňuji
wymieniasz vyměňuješ
wymienia vyměňuje
wymienię vyměním
wymienisz vyměníš
wymieni vymění
wymierzę vyměřím
wymierzysz vyměříš
wymierzy vyměří
wymówię vyslovím
wymówisz vyslovíš
wymówi vysloví
wmuszę vymohu
wmusisz vymůžeš
wymusi vymůže
wynagrodzę odměním
wynagrodzisz odměníš
wynagrodzi odmění
wynajdę vynaleznu
wynajdziesz vynaleznete
wynajdzie vynalezl
wyniosę vynesli
wyniesiesz vynesli
wyniesie vynesl
wynoszę vynáším
wynosisz vynášíš
wynosi vynáší
wypalę vypálím
wypalisz vypálíš
wypali vypálí
wypatruję vyhlížím
wypatrujesz vyhlížíš
wypatruje vyhlíží
wypatrzę vyhlédnu
wypatrzysz vyhlédneš
wypatrzy vyhlédne
wypełniam vyplňuji
wypełniasz vyplňuješ
wypełnia vyplňuje
wypełnię vyplním
wypełnisz vyplníš
wypełni vyplní
wypędzę vyženu
wypędzisz vyženeš
wypędzi vyžene
wypiję vypiji
wypijesz vypiješ
wypije vypije
wypiszę vypíšu
wypiszesz vypíšeš
wypisze vypíše
wyplączę vymotám
wyplączesz vymotáš
wyplącze vymotá
wypłacę vyplatím
wypłacisz vyplatíš
wypłaci vyplatí
wypłaczę vypláču
wypłaczesz vypláčeš
wypłacze vypláče
wypowiadam vyslovuji
wypowiadasz vyslovuješ
wypowiada vyslovuje
wypowiem vyslovím
wypowiesz vyslovíš
wypowie vysloví
wyprawiam provádím
wyprawiasz provádíš
wyprawia provádí
wyprawię provedu
wyprawisz provedeš
wyprawi provede
wyprodukuję vyrobím
wyprodukujesz vyrobíš
wyprodukuje vyrobí
wyprostuję narovnám
wyprostujesz narovnáš
wyprostuje narovná
wyprowadzam vyvádím
wyprowadzasz vyvádíš
wyprowadza vyvádí
wyprowadzę vyvedu
wyprowadzisz vyvedeš
wyprowadzi vyvede
wypróbuję vyzkouším
wypróbujesz vyzkoušíš
wypróbuje vyzkouší
wyprę vytlačím
wyprzesz vytlačíš
wyprze vytlačí
wyprzedzę předejdu
wyprzedzisz předejdeš
wyprzedzi předejde
wypuszczam pouštím
wypuszczasz pouštíš
wypuszcza pouští
wypuszczę pustím
wypuścisz pustíš
wypuści pustí
wyrażę vyjádřím
wyrazisz vyjádříš
wyrazi vyjádří
wyrażam vyjadřuji
wyrażasz vyjadřuješ
wyraża vyjadřuje
wyrobię vyrobím
wyrobisz vyrobíš
wyrobi vyrobí
wyrównam srovnám
wyrównasz srovnáš
wyrówna srovná
wyrwę vytrhnu
wyrwiesz vytrhneš
wyrwie vytrhne
wyrywam vytrhávám
wyrywasz vytrháváš
wyrywa vytrhává
wyrządzę způsobím
wyrządzisz způsobíš
wyrządzi způsobí
wyrzucam vyhazuji
wyrzucasz vyhazuješ
wyrzuca vyhazuje
wyrzucę vyhodím
wyrzucisz vyhodíš
wyrzuci vyhodí
wysadzę vysadím
wysadzisz vysadíš
wysadzi vysadí
wyślę pošlu
wyślesz pošleš
wyśle pošle
wysłucham vyslechnu
wysłuchasz vyslechneš
wysłucha vyslechne
wysłuchuję vyslýchám
wysłuchujesz vyslýcháš
wysłuchuje vyslýchá
wystawiam vystavuji
wystawiasz vystavuješ
wystawia vystavuje
wystawię vystavím
wystawisz vystavíš
wystawi vystaví
wystraszę vystraším
wystraszysz vystrašíš
wystraszy vystraší
wystrzelę vystřelím
wystrzelisz vystřelíš
wystrzeli vystřelí
wysuwam vysouvám
wysuwasz vysouváš
wysuwa vysouvá
wysyłam posílám
wysyłasz posíláš
wysyła posílá
wyszukam vyhledám
wyszukasz vyhledáš
wyszuka vyhledá
wyśledzę vystopuji
wyśledzisz vystopuješ
wyśledzi vystopuje
wyświadczę prokážu
wyświadczysz prokážeš
wyświadczy prokáže
wytłumaczę vysvětlím
wytłumaczysz vysvětlíš
wytłumaczy vysvětlí
wytrącę vytrhnu
wytrącisz vytrhneš
wytrąci vytrhne
wytropię vystopuji
wytropisz vystopuješ
wytropi vystopuje
wytrę utřu
wytrzesz utřeš
wytrze utře
wytwarzam vytvářím
wytwarzasz vytváříš
wytwarza vytváří
wytworzę vytvořím
wytworzysz vytvoříš
wytworzy vytvoří
wywabię vylákám
wywabisz vylákáš
wywabi vyláká
wyważę vyvážím
wyważysz vyvážíš
wyważy vyváží
wywieram vyvíjím
wywierasz vyvíjíš
wywiera vyvíjí
wywiodę vyvedu
wywiedziesz vyvedeš
wywiedzie vyvede
wywiozę vyvezu
wywieziesz vyvezeš
wywiezie vyveze
wywnioskuję vyvodím
wywnioskujesz vyvodíš
wywnioskuje vyvodí
wywołam vyvolám
wywołasz vyvoláš
wywoła vyvolá
wywołuję vyvolávám
wywołujesz vyvoláváš
wywołuje vyvolává
wywrę vyvin
wywrzesz vyvin
wywrze vyvin
wyznaczę určím
wyznaczysz určíš
wyznaczy určí
wyzwolę osvobodím
wyzwolisz osvobodíš
wyzwoli osvobodí
wyzyskam využiji
wyzyskasz využiješ
wyzyska využije
wyżywię vyživím
wyżywisz vyživíš
wyżywi vyživí
wzbiję vzlétnu
wzbijesz vzlétneš
wzbije vzlétne
wzbogacę obohatím
wzbogacisz obohatíš
wzbogaci obohatí
wzbudzam vzbuzuji
wzbudzasz vzbuzuješ
wzbudza vzbuzuje
wzbudzę vzbudím
wzbudzisz vzbudíš
wzbudzi vzbudí
wezmę vezmu
weźmiesz vezmeš
weźmie vezme
wzmocnię posílím
wzmocnisz posílíš
wzmocni posílí
wzniosę vznesu
wzniesiesz vzneseš
wznieść vnese
wznoszę vznáším
wznosisz vznášíš
wznosi vznáší
wzruszę dojmu
wzruszysz dojmou
wzruszy dojme
wzywam vyzývám
wzywasz vyzýváš
wzywa vyzývá
zaakceptuję přijmu
zaakceptujesz přijmeš
zaakceptuje přijme
zaangażuję zapojím
zaangażujesz zapojíš
zaangażuje zapojí
zaatakuję zaútočím
zaatakujesz zaútočíš
zaatakuje zaútočí
zabawiam bavím
zabawiasz bavíš
zabawia baví
zabawię zabavím
zabawisz zabavíš
zabawi zabaví
zabezpieczę zabezpečím
zabezpieczysz zabezpečíš
zabezpieczy zabezpečí
zabiję zabiju
zabijesz zabiješ
zabije zabije
zabieram beru
zabierasz bereš
zabiera bere
zabijam zabíjím
zabijasz zabíjíš
zabija zabíjí
zablokuję zablokuji
zablokujesz zablokuješ
zablokuje zablokuje
zabiorę vezmu
zabierzesz vezmeš
zabierze vezme
zachęcam povzbuzuji
zachęcasz povzbuzuješ
zachęca povzbuzuje
zachęcę povzbudím
zachęcisz povzbudíš
zachęci povzbudí
zachodzę zacházím
zachodzisz zacházíš
zachodzi zachází
zachowam zachovám
zachowasz zachováš
zachowa zachová
zachwieję otřásl
zachwiejesz otřásl
zachwieje otřásl
zachwycam nadchnu
zachwycasz nadchneš
zachwyca nadchne
zacytuję cituji
zacytujesz cituješ
zacytuje cituje
zacznę začnu
zaczniesz začneš
zacznie začne
zaczepię přichytím
zaczepisz přichytíš
zaczepi přichytí
zaczerpnę načerpu
zaczerpniesz načerpáš
zaczerpnie načerpá
zaczynam začínám
zaczynasz začínáš
zaczyna začíná
zadam zadám
zadasz zadáš
zada zadá
zadaję zadávám
zadajesz zadáváš
zadaje zadává
zademonstruję demonstruji
zademonstrujesz demonstruješ
zademonstruje demonstruje
zadowolę uspokojím
zadowolisz uspokojíš
zadowoli uspokojí
zadzieram zadírám
zadzierasz zadíráš
zadziera zadírá
zadziwię udivím
zadziwisz udivíš
zadziwi udiví
zagadam zagájám
zagadasz zagájáš
zagada zagájá
zagłuszę zahluším
zagłuszysz zahlušíš
zagłuszy zahluší
zagram zahraju
zagrasz zahraješ
zagra zahraje
zahamuję zabrzdím
zahamujesz zabrzdíš
zahamuje zabrzdí
zainstaluję nainstaluji
zainstalujesz nainstaluješ
zainstaluje nainstaluje
zainteresuję zaujmu
zainteresujesz zaujmeš
zainteresuje zaujme
zajmę zaberu
zajmiesz zabereš
zajmie zabere
zajmuję zabírám
zajmujesz zabíráš
zajmuje zabírá
zajdę zajdu
zajdziesz zajdeš
zajdzie zajde
zakładam zakládám
zakładasz zakládáš
zakłada zakládá
zakłócam ruším
zakłócasz rušíš
zakłóca ruší
zakłócę naruším
zakłócisz narušíš
zakłóci naruší
zakończę dokončím
zakończysz dokončíš
zakończy dokončí
zakopię zakopu
zakopiesz zakopeš
zakopie zakope
zakryję zakryji
zakryjesz zakryješ
zakryje zakryje
zakupię koupím
zakupisz koupíš
zakupi koupí
zaleję zaliji
zalejesz zaliješ
zaleje zalije
zaliczą započítám
zaliczysz započítáš
zaliczy započítá
załadowuję naložím
załadowujesz naložíš
załadowuje naloží
załagodzę zklidním
załagodzisz zklidníš
załagodzi zklidní
załamię zlomím
załamiesz zlomíš
załama zlomí
załatwiam vyřizuji
załatwiasz vyřizuješ
załatwia vyřizuje
załatwię vyřídím
załatwisz vyřídíš
załatwi vyřídí
założę založím
założysz založíš
założy založí
zamaskuję zamaskuji
zamaskujesz zamaskuješ
zamaskuje zamaskuje
zameldowałem nahlásím
zameldowałeś nahlásíš
zameldował nahlásí
zamieniam zaměňuji
zamieniasz zaměňuješ
zamienia zaměňuje
zamienię zaměním
zamienisz zaměníš
zamieni zamění
zamorduję zavraždím
zamordujesz zavraždíš
zamorduje zavraždí
zamówię objednám
zamówisz objednáš
zamówi objedná
zamykam zavírám
zamykasz zavíráš
zamyka zavírá
zaniosę zanesu
zaniesiesz zaneseš
zaniesie zanese
zanotuję zaznamenám
zanotujesz zaznamenáš
zanotuje zaznamená
zanurzę ponořím
zanurzysz ponoříš
zanurzy ponoří
zaobserwuję pozoruji
zaobserwujesz pozoruješ
zaobserwuje pozoruje
zaoferuję nabídnu
zaoferujesz nabídneš
zaoferuje nabídne
zaopatrzę zaopatřím
zaopatrzysz zaopatříš
zaopatrzy zaopatří
zapakuję zabalím
zapakujesz zabalíš
zapakuje zabalí
zapalam zapaluji
zapalasz zapaluješ
zapala zapaluje
zapalę zapálím
zapalą zapálíš
zapali zapálí
zapełnię zaplním
zapełnisz zaplníš
zapełni zaplní
zapewniam zajišťuji
zapewniasz zajišťuješ
zapewnia zajišťuje
zapewnię zajistím
zapewnisz zajistíš
zapewni zajistí
zapędzę zaženu
zapędzisz zaženeš
zapędzi zažene
zapię zapnu
zapniesz zapneš
zapnie zapne
zapiszę zapíšu
zapiszesz zapíšeš
zapisze zapíše
zapisuję zapisuji
zapisujesz zapisuješ
zapisuje zapisuje
zapłacę zaplatím
zapłacisz zaplatíš
zapłaci zaplatí
zapraszam zvu
zapraszasz zveš
zaprasza zve
zaproszę pozvu
zaprosisz pozveš
zaprosi pozve
zaprowadzę zavedu
zaprowadzisz zavedeš
zaprowadzi zavede
zaprzątam zaměstnávám
zaprzątas zaměstnáváš
zaprząta zaměstnává
zapuszczam pouštím
zapuszczasz pouštíš
zapuszcza pouští
zapuszczę pustím
zapuścisz pustíš
zapuści pustí
zarabiam vydělávám
zarabiasz vyděláváš
zarabia vydělává
zarażę nakazím
zarazisz nakazíš
zarazi nakazí
zarejestruję zaregistruji
zarejestrujesz zaregistruješ
zarejestruje zaregistruje
zarobię vydělám
zarobisz vyděláš
zarobi vydělá
zarzucę hodím
zarzucisz hodíš
zarzuci hodí
zaskoczę překvapím
zaskoczysz překvapíš
zaskoczy překvapí
zasłonię zakryji
zasłonisz zakryješ
zasłoni zakryje
zaspokoję uspokojím
zaspokoisz uspokojíš
zaspokoi uspokojí
zastanę zastihnu
zastaniesz zastihneš
zastanie zastihne
zastawię zastavím
zastawisz zastavíš
zastawi zastaví
zastąpię nahradím
zastąpisz nahradíš
zastąpi nahradí
zastosuję použiji
zastosujesz použiješ
zastosuje použije
zastraszę zastraším
zastraszysz zastrašíš
zastraszy zastraší
zastrzelę zastřelím
zastrzelisz zastřelíš
zastrzeli zastřelí
zasypię zasypu
zasypiesz zasypeš
zasypie zasype
zaszyję zašiji
zaszyjesz zašiješ
zaszyje zašije
zaśpiewam zazpívám
zaśpiewasz zazpíváš
zaśpiewa zazpívá
zatamuję zastavím
zatamujesz zastavíš
zatamuje zastaví
zatkam ucpám
zatkasz ucpáš
zatka ucpe
zatopię potopím
zatopisz potopíš
zatopi potopí
zatruję otrávím
zatrujesz otrávíš
zatruje otráví
zatrudnię zaměstnám
zatrudnisz zaměstnáš
zatrudni zaměstná
zatrzymam zastavím
zatrzymasz zastavíš
zatrzyma zastaví
zatrzymuję zastavuji
zatrzymujesz zastavuješ
zatrzymuje zastavuje
zatuszuję zamaskuji
zatuszujesz zamaskuješ
zatuszuje zamaskuje
zawale selžu
zawalim selžeš
zawali selže
zawiadomię uvědomím
zawiadomisz uvědomíš
zawiadomi uvědomí
zawiążę zavážu
zawiążesz zavážeš
zawiąże zaváže
zawieram obsahuji
zawierasz obsahuješ
zawiera obsahuje
zawierzę uvěřím
zawierzysz uvěříš
zawierzy uvěří
zawieszę zavěsím
zawiesisz zavěsíš
zawiesi zavěsí
zawiodę zklamu
zawiedziesz zklameš
zawiedzie zklame
zawiozę odvezu
zawiezią odvezeš
zawiezie odveze
zawodzę selhávám
zawodzisz selháváš
zawodzi selhává
zawołam zavolám
zawołasz zavoláš
zawoła zavolá
zawrę uzavřu
zawrzesz uzavřeš
zawrze uzavře
zaznaczę označím
zaznaczysz označíš
zaznaczy označí
zażywam užívám
zażywasz užíváš
zażywa užívá
zbadam prozkoumám
zbadasz prozkoumáš
zbada prozkoumá
zbawię spasím
zbawisz spasíš
zbawi spasí
zbiję zbijí
zbijesz zbiješ
zbije zbije
zbieram sbírám
zbierasz sbíráš
zbiera sbírá
zbuduję postavím
zbudujesz postavíš
zbuduje postaví
zbudzę probudím
zbudzisz probudíš
zbudzi probudí
zburzę zbourám
zburzysz zbouráš
zburzy zbourá
zdejmuję sundávám
zdejmujesz sundáváš
zdejmuje sundává
zdemaskuję demaskuji
zdemaskujesz demaskuješ
zdemaskuje demaskuje
zdenerwuję znervózním
zdenerwujesz znervózníš
zdenerwuje znervózní
zdejmę sundám
zdejmiesz sundáš
zdejmie sundá
zdobędę dobývám
zdobędziesz dobýváš
zdobędzie dobývá
zdobywam získávám
zdobywasz získáváš
zdobywa získává
zdradzam zrazuji
zdradzasz zrazuješ
zdradza zrazuje
zdradzę zradím
zdradzisz zradíš
zdradzi zradí
zduszę udusím
zdusisz udusíš
zdusi udusí
zdziałam dokážu
zdziałasz dokážeš
zdziała dokáže
zdziwię překvapím
zdziwisz překvapíš
zdziwi překvapí
zbiorę seberu
zbierzesz sebereš
zbierze sebere
zedrę strhnu
zedrzesz strhneš
zedrze strhne
zepsuję zkazím
zepsujesz zkazíš
zepsuje zkazí
zerwe utrhnu
zerwiesz utrhneš
erwie utrhne
zetrę setřu
zetrzesz setřeš
zetrze setře
zeznaję svědčím
zeznajesz svědčíš
zeznaje svědčí
zgaduję hádám
zgadujesz hádáš
zgaduje hádá
zgadzam souhlasím
zgadzasz souhlasíš
zgadza souhlasí
zgaszę uhasím
zgasisz uhasíš
zgasi uhasí
zgnę ohnu
zgniesz ohneš
zgnie ohne
zgładzę vyhladím
zgładzisz vyhladíš
zgładzi vyhladí
zgłaszam hlásím
zgłaszasz hlásíš
zgłasza hlásí
zgłoszę ohlásím
zgłosisz ohlásíš
zgłosi ohlásí
zgniotę zmáčknu
zgniotasz zmáčkneš
zgniotaje zmáčkne
zgodzę smířím
zgodzisz smíříš
zgodzi smíří
zgromadzę shromáždím
zgromadzisz shromáždíš
zgromadzi shromáždí
zgubię ztratím
zgubisz ztratíš
zgubi ztratí
zgwałcę znásilním
zgwałcisz znásilníš
zgwałci znásilní
zidentyfikuję identifikuji
zidentyfikujesz identifikuješ
zidentyfikuje identifikuje
zjadam jím
zjadasz jíš
zjada jí
zjadę sjedu
zjedziesz sjedeš
zjedzie sjede
zjednam získám
zjednasz získáš
zjedna získá
zjednoczę sjednotím
zjednoczysz sjednotíš
zjednoczy sjednotí
zjem sním
zjesz sníš
zje sní
zjeżdżam sjíždím
zjeżdżasz sjíždíš
zjeżdża sjíždí
zliczę sečtu
zliczysz sečteš
zliczy sečte
zlikwiduję zlikviduji
zlikwidujesz zlikviduješ
zlikwiduje zlikviduje
zlokalizuję lokalizuji
zlokalizujesz lokalizuješ
zlokalizuje lokalizuje
złagodzę zmírním
złagodzisz zmírníš
złagodzi zmírní
złamię zlomím
złamię zlomíš
złama zlomí
złapię chytím
złapiesz chytíš
złapie chytí
złowil ulovím
złowisz ulovíš
złowić uloví
złożę složím
złożysz složíš
złoży složí
zmarnuję promarním
zmarnujesz promarníš
zmarnuje promarní
zmiażdżę rozdrtím
zmiażdżysz rozdrtíš
zmiażdży rozdrtí
zmieniam měním
zmieniasz měníš
zmienia mění
zmienię změním
zmienisz změníš
zmieni změní
zmierzam změřím
zmierzasz změříš
zmierza změří
zmniejszam zmenšuji
zmniejszasz zmenšuješ
zmniejsza zmenšuje
zmniejszę zmenším
zmniejszysz zmenšíš
zmniejszy zmenší
zmobilizuję zmobilizuji
zmobilizujesz zmobilizuješ
zmobilizuje zmobilizuje
zmrużę zamhouřím
zmrużysz zamhouříš
zmruży zamhouří
zmuszę přinutím
zmusisz přinutíš
zmuši přinutí
zmuszam nutím
zmuszasz nutíš
zmusza nutí
zmyję smyji
zmyjesz smyješ
zmyje smyje
zmylę zmátnu
zmylisz zmateš
zmyli zmátne
znaczę znamenám
znaczysz znamenáš
znaczy znamená
znam znám
znasz znáš
zna zná
znajduję nacházím
znajdujesz nacházíš
znajduje nachází
znajdę najdu
znajdziesz najdeš
znajdzie najde
zniechęcę znechutím
zniechęcisz znechutíš
zniechęci znechutí
zniosę snesu
zniesiesz sneseš
znieść snese
zniszczę zničím
zniszczysz zničíš
zniszczy zničí
zniweczę zmařím
zniweczysz zmaříš
zniweczy zmaří
znoszę snáším
znosisz snášíš
znosi snáší
zobaczę uvidím
zobaczysz uvidíš
zobaczy uvidí
zorganizuję zorganizuji
zorganizujesz zorganizuješ
zorganizuje zorganizuje
zostawiam zanechávám
zostawiasz zanecháváš
zostawia zanechává
zostawię zanechám
zostawisz zanecháš
zostawi zanechá
zranię zraním
zranisz zraníš
zrani zraní
zrealizuję realizuji
zrealizujesz realizuješ
zrealizuje realizuje
zredukuję zredukuji
zredukujesz zredukujes
zredukuje zredukuje
zrobię udělám
zrobisz uděláš
zrobi udělá
zrodzę zrodím
zrodzisz zrodíš
zrodzi zrodí
zrozumiem porozumím
zrozumiesz porozumíš
zrozumie porozumí
zrównam srovnám
zrównasz srovnáš
zrówna srovná
zrujnuję zruinuji
zrujnujesz zruinuje
zrujnuje zruinuje
zrywam trhám
zrywasz trháš
zrywa trhá
zrzucam shazuji
zrzucasz shazuješ
zrzuca shazuje
zrzuce shodím
zrzucisz shodíš
zrzuci shodí
zsuwam sesouvám
zsuwasz sesouváš
zsuwa sesouvá
zwabię zlákám
zwabisz zlákáš
zwabi zláká
zwę zvu
zwiesz zveš
zwę zve
zwalczam bojuji
zwalczasz bojuješ
zwalcza bojuje
zwalczę přemohu
zwalczysz přemůžeš
zwalczy přemůže
zwalę svalím
zwalisz svalíš
zwali svalí
zwalniam uvolňuji
zwalniasz uvolňuješ
zwalnia uvolňuje
zważę zvážím
zważysz zvážíš
zważy zváží
zwerbuję naverbuji
zwerbujesz naverbujete
zwerbuje naverbuje
zwieję uteku
zwieją utečeš
zwieje uteče
zwiążę svážu
zwiążesz svážeš
zwiąże sváže
zwiedzam navštěvuji
zwiedzasz navštěvuješ
zwiedza navštěvuje
zwiedzę navštívím
zwiedzisz navštívíš
zwiedzi navštíví
zwiodę svedu
zwiedziesz svedeš
zwiedzie svede
zwiększę zvýším
zwiększysz zvýšíš
zwiększy zvýší
zwijam svinuji
zwijasz svinuješ
zwija svinuje
zwlekam váhám
zwlekasz váháš
zwleka váhá
zwodzę klamu
zwodzisz klamáš
zwodzi klame
zwolnię zpomalím
zwolnisz zpomalíš
zwolni zpomalí
zwołam svolám
zwołasz svoláš
zwoła svolá
zwracam vracím
zwracasz vracíš
zwraca vrací
zwrócę vrátím
zwrócisz vrátíš
zwróci vrátí
zwycięży zvítězím
zwyciężysz zvítězíš
zwycięży zvítězí
zyskam získám
zyskasz získáš
zyska získá
żrę žeru
żresz žereš
żre žere
żuję žvýkám
żujesz žvýkáš
żuje žvýká
żywię živím
żywisz živíš
żywi živí
